Name,Title,Location,Career,Education,HomepageURL
(주)다우기술,2023년 하반기 경력·신입 대규모 인재영입,서울  마포구,신입·경력,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=VTRZYnpWSWNxWlM4NVNoWGtFU2NOUT09
(주)크래프톤,[Migaloo (NFT Metaverse)] Devops Engineer (신입 ~ 3년 이하),서울  서초구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=VUJYbGh2aXhrZXhxR2FUZVFRK0pMZz09
(주)레이,[판교]  SW개발 및 유지보수 ( C / C++ / Golang ),경기  성남시 분당구,경력 3~5년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=eU9jeHJhaXcyVU05RnE2UXllSmVJdz09
(주)메일플러그,2023년 하반기 신입 및 경력 공개채용,서울  강남구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekFjMG5lbDB4dHNFQVlNV0Z3S2Vtdz09
(주)와탭랩스,백엔드 에이전트 개발자(Golang),서울  서초구,경력 3~12년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RC8wc2lnN1BMUytOaFVhbjliSTM3dz09
이에이트(주),"해석엔진개발(프론트엔드 Javascript, Typescript/백엔드 Golang)",서울전체,경력 3~10년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OElPTVpmV0pLL0ZtVkl3RU5Cc3lkZz09
(주)루닛,Backend/Application Engineer · Lunit INSIGHT,서울  강남구,경력 5~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=SkxmMDhCRk9vRHIvRUgxenE2SWo1dz09
지니언스(주),지니언스(주) 개발자 모집,경기  안양시 동안구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cCtDU1B0ZDYxcVJjWkRPdXdXWTA2UT09
(주)마크베이스,백엔드 개발자 모집 (신입/경력),서울  강남구,신입·경력,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=aDlkd1JjRFdhUDVRN2lDY0dWYWNIUT09
롯데헬스케어(주),서비스 백엔드 엔지니어,서울전체,경력 2~6년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OUlqSFBLSlAyeFIrTk5SM0oxTnhhZz09
(주)드림어스컴퍼니,[뮤직플랫폼FLO] Backend(Junior) 개발자,서울  서초구,경력 1~5년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWE0akhvM1BSRWtHS2t6c0V4TlpEUT09
